1|Nairobi CBD|John Kamau|2024-11-01 08:30|3.50|resolved
2|Westlands|Mary Wanjiku|2024-11-03 14:00|2.00|resolved
3|Nairobi CBD|Peter Otieno|2024-11-05 09:15|4.00|resolved
4|Kisumu|Alice Achieng|2024-11-06 11:00|1.50|resolved
5|Nairobi CBD|Samuel Njoroge|2024-11-08 07:45|5.00|resolved
6|Westlands|Grace Muthoni|2024-11-10 16:30|3.00|resolved
7|Mombasa|Hassan Omar|2024-11-11 13:00|2.50|resolved
8|Nairobi CBD|Faith Karimi|2024-11-13 08:00|6.00|resolved
9|Kisumu|Tom Ochieng|2024-11-14 10:30|1.00|resolved
10|Westlands|Diana Chebet|2024-11-15 15:00|2.00|resolved
11|Nairobi CBD|Mike Gitonga|2024-11-16 09:00|3.00|active
12|Mombasa|Fatuma Ali|2024-11-17 11:45|0.00|active
13|Nakuru|James Ndegwa|2024-11-17 14:00|0.00|active
